Question,Tag
63. Unique Paths II,MST
1. Two Sum,MST
2. Add Two Numbers,MST
3. Longest Substring Without Repeating Characters,MST
4. Median of Two Sorted Arrays,MST
5. Longest Palindromic Substring,MST
6. Zigzag Conversion,MST
7. Reverse Integer,MST
8. String to Integer (atoi),MST
9. Palindrome Number,MST
10. Regular Expression Matching,MST
11. Container With Most Water,MST
12. Integer to Roman,MST
13. Roman to Integer,MST
14. Longest Common Prefix,MST
15. 3Sum,MST
16. 3Sum Closest,MST
17. Letter Combinations of a Phone Number,MST
18. 4Sum,MST
19. Remove Nth Node From End of List,MST
20. Valid Parentheses,MST
21. Merge Two Sorted Lists,MST
22. Generate Parentheses,MST
23. Merge k Sorted Lists,MST
24. Swap Nodes in Pairs,MST
25. Reverse Nodes in k-Group,MST
26. Remove Duplicates from Sorted Array,MST
27. Remove Element,MST
28. Find the Index of the First Occurrence in a String,MST
29. Divide Two Integers,MST
30. Substring with Concatenation of All Words,MST
31. Next Permutation,MST
32. Longest Valid Parentheses,MST
33. Search in Rotated Sorted Array,MST
34. Find First and Last Position of Element in Sorted Array,MST
35. Search Insert Position,MST
36. Valid Sudoku,MST
37. Sudoku Solver,MST
38. Count and Say,MST
39. Combination Sum,MST
40. Combination Sum II,MST
41. First Missing Positive,MST
42. Trapping Rain Water,MST
43. Multiply Strings,MST
44. Wildcard Matching,MST
45. Jump Game II,MST
46. Permutations,MST
47. Permutations II,MST
48. Rotate Image,MST
49. Group Anagrams,MST
63. Unique Paths II,MST
1. Two Sum,MST
2. Add Two Numbers,MST
3. Longest Substring Without Repeating Characters,MST
4. Median of Two Sorted Arrays,MST
5. Longest Palindromic Substring,MST
6. Zigzag Conversion,MST
7. Reverse Integer,MST
8. String to Integer (atoi),MST
9. Palindrome Number,MST
10. Regular Expression Matching,MST
11. Container With Most Water,MST
12. Integer to Roman,MST
13. Roman to Integer,MST
14. Longest Common Prefix,MST
15. 3Sum,MST
16. 3Sum Closest,MST
17. Letter Combinations of a Phone Number,MST
18. 4Sum,MST
19. Remove Nth Node From End of List,MST
20. Valid Parentheses,MST
21. Merge Two Sorted Lists,MST
22. Generate Parentheses,MST
23. Merge k Sorted Lists,MST
24. Swap Nodes in Pairs,MST
25. Reverse Nodes in k-Group,MST
26. Remove Duplicates from Sorted Array,MST
27. Remove Element,MST
28. Find the Index of the First Occurrence in a String,MST
29. Divide Two Integers,MST
30. Substring with Concatenation of All Words,MST
31. Next Permutation,MST
32. Longest Valid Parentheses,MST
33. Search in Rotated Sorted Array,MST
34. Find First and Last Position of Element in Sorted Array,MST
35. Search Insert Position,MST
36. Valid Sudoku,MST
37. Sudoku Solver,MST
38. Count and Say,MST
39. Combination Sum,MST
40. Combination Sum II,MST
41. First Missing Positive,MST
42. Trapping Rain Water,MST
43. Multiply Strings,MST
44. Wildcard Matching,MST
45. Jump Game II,MST
46. Permutations,MST
47. Permutations II,MST
48. Rotate Image,MST
49. Group Anagrams,MST
51. N-Queens,MST
52. N-Queens II,MST
53. Maximum Subarray,MST
54. Spiral Matrix,MST
55. Jump Game,MST
56. Merge Intervals,MST
57. Insert Interval,MST
58. Length of Last Word,MST
59. Spiral Matrix II,MST
60. Permutation Sequence,MST
61. Rotate List,MST
62. Unique Paths,MST
63. Unique Paths II,MST
64. Minimum Path Sum,MST
65. Valid Number,MST
66. Plus One,MST
67. Add Binary,MST
68. Text Justification,MST
69. Sqrt(x),MST
70. Climbing Stairs,MST
71. Simplify Path,MST
72. Edit Distance,MST
73. Set Matrix Zeroes,MST
74. Search a 2D Matrix,MST
75. Sort Colors,MST
76. Minimum Window Substring,MST
77. Combinations,MST
78. Subsets,MST
79. Word Search,MST
80. Remove Duplicates from Sorted Array II,MST
81. Search in Rotated Sorted Array II,MST
82. Remove Duplicates from Sorted List II,MST
83. Remove Duplicates from Sorted List,MST
84. Largest Rectangle in Histogram,MST
85. Maximal Rectangle,MST
86. Partition List,MST
87. Scramble String,MST
88. Merge Sorted Array,MST
89. Gray Code,MST
90. Subsets II,MST
91. Decode Ways,MST
92. Reverse Linked List II,MST
93. Restore IP Addresses,MST
94. Binary Tree Inorder Traversal,MST
95. Unique Binary Search Trees II,MST
96. Unique Binary Search Trees,MST
97. Interleaving String,MST
98. Validate Binary Search Tree,MST
99. Recover Binary Search Tree,MST
100. Same Tree,MST
