Question,Tag
63. Unique Paths II,binary search
4. Median of Two Sorted Arrays,binary search
33. Search in Rotated Sorted Array,binary search
34. Find First and Last Position of Element in Sorted Array,binary search
35. Search Insert Position,binary search
69. Sqrt(x),binary search
74. Search a 2D Matrix,binary search
81. Search in Rotated Sorted Array II,binary search
153. Find Minimum in Rotated Sorted Array,binary search
154. Find Minimum in Rotated Sorted Array II,binary search
162. Find Peak Element,binary search
167. Two Sum II - Input Array Is Sorted,binary search
209. Minimum Size Subarray Sum,binary search
222. Count Complete Tree Nodes,binary search
240. Search a 2D Matrix II,binary search
259. 3Sum Smaller,binary search
268. Missing Number,binary search
270. Closest Binary Search Tree Value,binary search
275. H-Index II,binary search
278. First Bad Version,binary search
287. Find the Duplicate Number,binary search
300. Longest Increasing Subsequence,binary search
302. Smallest Rectangle Enclosing Black Pixels,binary search
315. Count of Smaller Numbers After Self,binary search
327. Count of Range Sum,binary search
349. Intersection of Two Arrays,binary search
350. Intersection of Two Arrays II,binary search
352. Data Stream as Disjoint Intervals,binary search
354. Russian Doll Envelopes,binary search
362. Design Hit Counter,binary search
363. Max Sum of Rectangle No Larger Than K,binary search
367. Valid Perfect Square,binary search
374. Guess Number Higher or Lower,binary search
378. Kth Smallest Element in a Sorted Matrix,binary search
400. Nth Digit,binary search
410. Split Array Largest Sum,binary search
436. Find Right Interval,binary search
441. Arranging Coins,binary search
456. 132 Pattern,binary search
475. Heaters,binary search
483. Smallest Good Base,binary search
493. Reverse Pairs,binary search
497. Random Point in Non-overlapping Rectangles,binary search
528. Random Pick with Weight,binary search
532. K-diff Pairs in an Array,binary search
540. Single Element in a Sorted Array,binary search
611. Valid Triangle Number,binary search
633. Sum of Square Numbers,binary search
644. Maximum Average Subarray II,binary search
658. Find K Closest Elements,binary search
63. Unique Paths II,binary search
4. Median of Two Sorted Arrays,binary search
33. Search in Rotated Sorted Array,binary search
34. Find First and Last Position of Element in Sorted Array,binary search
35. Search Insert Position,binary search
69. Sqrt(x),binary search
74. Search a 2D Matrix,binary search
81. Search in Rotated Sorted Array II,binary search
153. Find Minimum in Rotated Sorted Array,binary search
154. Find Minimum in Rotated Sorted Array II,binary search
162. Find Peak Element,binary search
167. Two Sum II - Input Array Is Sorted,binary search
209. Minimum Size Subarray Sum,binary search
222. Count Complete Tree Nodes,binary search
240. Search a 2D Matrix II,binary search
259. 3Sum Smaller,binary search
268. Missing Number,binary search
270. Closest Binary Search Tree Value,binary search
275. H-Index II,binary search
278. First Bad Version,binary search
287. Find the Duplicate Number,binary search
300. Longest Increasing Subsequence,binary search
