Question,Tag
Check if There is a Valid Partition For The Array,breadth-first-search
Same Tree,breadth-first-search
Symmetric Tree,breadth-first-search
Binary Tree Level Order Traversal,breadth-first-search
Binary Tree Zigzag Level Order Traversal,breadth-first-search
Maximum Depth of Binary Tree,breadth-first-search
Binary Tree Level Order Traversal II,breadth-first-search
Minimum Depth of Binary Tree,breadth-first-search
Path Sum,breadth-first-search
Populating Next Right Pointers in Each Node,breadth-first-search
Populating Next Right Pointers in Each Node II,breadth-first-search
Word Ladder II,breadth-first-search
Word Ladder,breadth-first-search
Surrounded Regions,breadth-first-search
Clone Graph,breadth-first-search
Binary Tree Right Side View,breadth-first-search
Number of Islands,breadth-first-search
Course Schedule,breadth-first-search
Course Schedule II,breadth-first-search
Invert Binary Tree,breadth-first-search
Graph Valid Tree,breadth-first-search
Alien Dictionary,breadth-first-search
Perfect Squares,breadth-first-search
Walls and Gates,breadth-first-search
Serialize and Deserialize Binary Tree,breadth-first-search
Remove Invalid Parentheses,breadth-first-search
Smallest Rectangle Enclosing Black Pixels,breadth-first-search
Minimum Height Trees,breadth-first-search
Binary Tree Vertical Order Traversal,breadth-first-search
Shortest Distance from All Buildings,breadth-first-search
Coin Change,breadth-first-search
Number of Connected Components in an Undirected Graph,breadth-first-search
Longest Increasing Path in a Matrix,breadth-first-search
Nested List Weight Sum,breadth-first-search
Nested List Weight Sum II,breadth-first-search
Water and Jug Problem,breadth-first-search
Evaluate Division,breadth-first-search
Sum of Left Leaves,breadth-first-search
Trapping Rain Water II,breadth-first-search
Pacific Atlantic Water Flow,breadth-first-search
Serialize and Deserialize N-ary Tree,breadth-first-search
N-ary Tree Level Order Traversal,breadth-first-search
Encode N-ary Tree to Binary Tree,breadth-first-search
Minimum Genetic Mutation,breadth-first-search
Serialize and Deserialize BST,breadth-first-search
Island Perimeter,breadth-first-search
Zuma Game,breadth-first-search
The Maze,breadth-first-search
The Maze III,breadth-first-search
The Maze II,breadth-first-search
Check if There is a Valid Partition For The Array,breadth-first-search
Same Tree,breadth-first-search
Symmetric Tree,breadth-first-search
Binary Tree Level Order Traversal,breadth-first-search
Binary Tree Zigzag Level Order Traversal,breadth-first-search
Maximum Depth of Binary Tree,breadth-first-search
Binary Tree Level Order Traversal II,breadth-first-search
Minimum Depth of Binary Tree,breadth-first-search
Path Sum,breadth-first-search
Populating Next Right Pointers in Each Node,breadth-first-search
Populating Next Right Pointers in Each Node II,breadth-first-search
Word Ladder II,breadth-first-search
Word Ladder,breadth-first-search
Surrounded Regions,breadth-first-search
Clone Graph,breadth-first-search
Binary Tree Right Side View,breadth-first-search
Number of Islands,breadth-first-search
Course Schedule,breadth-first-search
Course Schedule II,breadth-first-search
Invert Binary Tree,breadth-first-search
Graph Valid Tree,breadth-first-search
Alien Dictionary,breadth-first-search
Perfect Squares,breadth-first-search
Walls and Gates,breadth-first-search
Serialize and Deserialize Binary Tree,breadth-first-search
Remove Invalid Parentheses,breadth-first-search
Smallest Rectangle Enclosing Black Pixels,breadth-first-search
Minimum Height Trees,breadth-first-search
Binary Tree Vertical Order Traversal,breadth-first-search
Shortest Distance from All Buildings,breadth-first-search
Coin Change,breadth-first-search
Number of Connected Components in an Undirected Graph,breadth-first-search
Longest Increasing Path in a Matrix,breadth-first-search
Nested List Weight Sum,breadth-first-search
Nested List Weight Sum II,breadth-first-search
Water and Jug Problem,breadth-first-search
Evaluate Division,breadth-first-search
Sum of Left Leaves,breadth-first-search
Trapping Rain Water II,breadth-first-search
Pacific Atlantic Water Flow,breadth-first-search
Serialize and Deserialize N-ary Tree,breadth-first-search
N-ary Tree Level Order Traversal,breadth-first-search
Encode N-ary Tree to Binary Tree,breadth-first-search
Minimum Genetic Mutation,breadth-first-search
Serialize and Deserialize BST,breadth-first-search
Island Perimeter,breadth-first-search
Zuma Game,breadth-first-search
The Maze,breadth-first-search
The Maze III,breadth-first-search
The Maze II,breadth-first-search
Freedom Trail,breadth-first-search
Find Largest Value in Each Tree Row,breadth-first-search
Minesweeper,breadth-first-search
Minimum Absolute Difference in BST,breadth-first-search
01 Matrix,breadth-first-search
Number of Provinces,breadth-first-search
Maximum Depth of N-ary Tree,breadth-first-search
Kill Process,breadth-first-search
Merge Two Binary Trees,breadth-first-search
Add One Row to Tree,breadth-first-search
Average of Levels in Binary Tree,breadth-first-search
Two Sum IV - Input is a BST,breadth-first-search
Print Binary Tree,breadth-first-search
Maximum Width of Binary Tree,breadth-first-search
Bulb Switcher II,breadth-first-search
Cut Off Trees for Golf Event,breadth-first-search
Redundant Connection,breadth-first-search
Redundant Connection II,breadth-first-search
Employee Importance,breadth-first-search
Number of Distinct Islands,breadth-first-search
Max Area of Island,breadth-first-search
Number of Distinct Islands II,breadth-first-search
Accounts Merge,breadth-first-search
Flood Fill,breadth-first-search
Sentence Similarity II,breadth-first-search
Closest Leaf in a Binary Tree,breadth-first-search
Network Delay Time,breadth-first-search
Contain Virus,breadth-first-search
Open the Lock,breadth-first-search
Pyramid Transition Matrix,breadth-first-search
Couples Holding Hands,breadth-first-search
Sliding Puzzle,breadth-first-search
Swim in Rising Water,breadth-first-search
Minimum Distance Between BST Nodes,breadth-first-search
Is Graph Bipartite?,breadth-first-search
Cheapest Flights Within K Stops,breadth-first-search
All Paths From Source to Target,breadth-first-search
Find Eventual Safe States,breadth-first-search
Bus Routes,breadth-first-search
Making A Large Island,breadth-first-search
Similar String Groups,breadth-first-search
Keys and Rooms,breadth-first-search
Shortest Path Visiting All Nodes,breadth-first-search
K-Similar Strings,breadth-first-search
All Nodes Distance K in Binary Tree,breadth-first-search
Shortest Path to Get All Keys,breadth-first-search
Smallest Subtree with all the Deepest Nodes,breadth-first-search
Possible Bipartition,breadth-first-search
Snakes and Ladders,breadth-first-search
Complete Binary Tree Inserter,breadth-first-search
Minimize Malware Spread,breadth-first-search
Minimize Malware Spread II,breadth-first-search
Shortest Bridge,breadth-first-search
Check Completeness of a Binary Tree,breadth-first-search
Regions Cut By Slashes,breadth-first-search
Univalued Binary Tree,breadth-first-search
Numbers With Same Consecutive Differences,breadth-first-search
Vertical Order Traversal of a Binary Tree,breadth-first-search
Cousins in Binary Tree,breadth-first-search
Rotting Oranges,breadth-first-search
Number of Enclaves,breadth-first-search
Coloring A Border,breadth-first-search
Escape a Large Maze,breadth-first-search
Flower Planting With No Adjacent,breadth-first-search
Brace Expansion,breadth-first-search
Shortest Path in Binary Matrix,breadth-first-search
Brace Expansion II,breadth-first-search
Path With Maximum Minimum Value,breadth-first-search
Lowest Common Ancestor of Deepest Leaves,breadth-first-search
Shortest Path with Alternating Colors,breadth-first-search
Maximum Level Sum of a Binary Tree,breadth-first-search
As Far from Land as Possible,breadth-first-search
Minimum Knight Moves,breadth-first-search
Smallest String With Swaps,breadth-first-search
Sort Items by Groups Respecting Dependencies,breadth-first-search
